"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","engelsk_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Alke","alke","publish","Fugler","Alca torda","Razorbill","Alke er en sjøfugl i alkefamilien som hekker i fuglefjell og lever store deler av året ute på havet.","<h2>Om alke</h2><p>Alke (<em>Alca torda</em>) er en art i artsgruppen fugler i Naturblikk. Alke er en sjøfugl i alkefamilien som hekker i fuglefjell og lever store deler av året ute på havet. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er VU – Sårbar.</p><h3>Kjennetegn</h3><p>Svart overside og hvit underside. Kraftig, høyt og flattrykt nebb med hvite tverrstriper. I vinterdrakt får den hvite kinn, strupe og hals. Størrelse: Ca. 38 cm. Vekt: 600–900 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille alke fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til marine områder og fuglefjell langs kysten. Hekker lokalt i fuglefjell langs norskekysten og opptrer ellers i kyst- og havområder. Forekomsten gjennom året beskrives slik: Hekker om våren og sommeren. Utenom hekketiden oppholder den seg mest på havet.</p><h3>Mat og adferd</h3><p>Alke lever av småfisk og andre marine organismer som fanges ved dykking. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hekker om våren og sommeren. Utenom hekketiden oppholder den seg mest på havet. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus VU – Sårbar. Artsdatabanken-takson-ID: 3554. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 38 cm","600–900 g","Svart overside og hvit underside. Kraftig, høyt og flattrykt nebb med hvite tverrstriper. I vinterdrakt får den hvite kinn, strupe og hals.","Marine områder og fuglefjell langs kysten.","Hekker lokalt i fuglefjell langs norskekysten og opptrer ellers i kyst- og havområder.","Hekker om våren og sommeren. Utenom hekketiden oppholder den seg mest på havet.","Småfisk og andre marine organismer som fanges ved dykking.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl.","3554","https://artsdatabanken.no/arter/takson/3554","https://snl.no/alke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Avosett","avosett","publish","Fugler","Recurvirostra avosetta","Pied Avocet","Avosett er en langbeint vadefugl med svart-hvit drakt og tydelig oppoverbøyd nebb.","<h2>Om avosett</h2><p>Avosett (<em>Recurvirostra avosetta</em>) er en art i artsgruppen fugler i Naturblikk. Avosett er en langbeint vadefugl med svart-hvit drakt og tydelig oppoverbøyd nebb. I Norge er arten registrert med status: Finnes i Norge, men er ikke egnet for ordinær rødlistekategori i Artsdatabanken-visningen. Rødlistestatusen er NA – Ikke egnet.</p><h3>Kjennetegn</h3><p>Langbeint svart-hvit vadefugl med langt oppoverbøyd nebb. Kontrastfull fjærdrakt og elegant kroppsform. Størrelse: Ca. 42–46 cm. Vekt: Ca. 250–400 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille avosett fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til grunne våtmarker, brakkvannsområder, strandenger, laguner og mudderflater. Sjelden og lokal i Norge. Forekommer særlig i kystnære våtmarksområder. Forekomsten gjennom året beskrives slik: Hovedsakelig vår og sommer i Norge.</p><h3>Mat og adferd</h3><p>Avosett lever av små krepsdyr, insektlarver og andre smådyr i grunt vann og mudder. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hovedsakelig vår og sommer i Norge. Arten kan opptre i Norge på ulike tider av året, avhengig av trekk, næringstilgang og lokale forhold.</p><h3>Status</h3><p>Finnes i Norge, men er ikke egnet for ordinær rødlistekategori i Artsdatabanken-visningen. Arten er oppført med rødlistestatus NA – Ikke egnet. Artsdatabanken-takson-ID: 3660. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 42–46 cm","Ca. 250–400 g","Langbeint svart-hvit vadefugl med langt oppoverbøyd nebb. Kontrastfull fjærdrakt og elegant kroppsform.","Grunne våtmarker, brakkvannsområder, strandenger, laguner og mudderflater.","Sjelden og lokal i Norge. Forekommer særlig i kystnære våtmarksområder.","Hovedsakelig vår og sommer i Norge.","Små krepsdyr, insektlarver og andre smådyr i grunt vann og mudder.","NA – Ikke egnet","Finnes i Norge, men er ikke egnet for ordinær rødlistekategori i Artsdatabanken-visningen.","3660","https://artsdatabanken.no/arter/takson/3660","https://snl.no/avosett","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bergand","bergand","publish","Fugler","Aythya marila","Greater Scaup","Bergand er en fåtallig dykkand i Norge som særlig er knyttet til grunne, næringsrike fjellvann.","<h2>Om bergand</h2><p>Bergand (<em>Aythya marila</em>) er en art i artsgruppen fugler i Naturblikk. Bergand er en fåtallig dykkand i Norge som særlig er knyttet til grunne, næringsrike fjellvann. I Norge er arten registrert med status: Finnes i Norge. Fåtallig etablert hekkefugl. Rødlistestatusen er EN – Sterkt truet.</p><h3>Kjennetegn</h3><p>Mellomstor dykkand med stort rundt hode. Hann med grønnsvart hode, hvite flanker og gråvatret rygg. Hunn brunlig. Størrelse: 40–51 cm. Vekt: 700–1400 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille bergand fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til grunne, næringsrike innsjøer og fjellvann. Overvintrer ofte i kystnære marine områder. Fåtallig hekkefugl i Norge, hovedsakelig i fjellområder. Mange overvintrer langs norskekysten. Forekomsten gjennom året beskrives slik: Hekker vår og sommer. Overvintrer delvis langs kysten.</p><h3>Mat og adferd</h3><p>Bergand lever av dykker etter blant annet skjell, snegler, krepsdyr og andre smådyr. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hekker vår og sommer. Overvintrer delvis langs kysten. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Fåtallig etablert hekkefugl. Arten er oppført med rødlistestatus EN – Sterkt truet. Artsdatabanken-takson-ID: 203474. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","40–51 cm","700–1400 g","Mellomstor dykkand med stort rundt hode. Hann med grønnsvart hode, hvite flanker og gråvatret rygg. Hunn brunlig.","Grunne, næringsrike innsjøer og fjellvann. Overvintrer ofte i kystnære marine områder.","Fåtallig hekkefugl i Norge, hovedsakelig i fjellområder. Mange overvintrer langs norskekysten.","Hekker vår og sommer. Overvintrer delvis langs kysten.","Dykker etter blant annet skjell, snegler, krepsdyr og andre smådyr.","EN – Sterkt truet","Finnes i Norge. Fåtallig etablert hekkefugl.","203474","https://artsdatabanken.no/arter/takson/203474","https://snl.no/bergand","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bergirisk","bergirisk","publish","Fugler","Linaria flavirostris","Twite","Bergirisk er en liten fink knyttet til åpne kyst-, berg- og lyngområder.","<h2>Om bergirisk</h2><p>Bergirisk (<em>Linaria flavirostris</em>) er en art i artsgruppen fugler i Naturblikk. Bergirisk er en liten fink knyttet til åpne kyst-, berg- og lyngområder. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Liten brunlig fink med stripet drakt, lysere underside og ofte gulaktig nebb. Kan ligne gråsisik, men mangler tydelig rød panneflekk. Størrelse: Ca. 13–14 cm. Vekt: Ca. 15–20 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille bergirisk fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til kyst, berg, ur, lynghei og åpne områder med lav vegetasjon. Forekommer i Norge, særlig i kyst- og fjellnære åpne landskap. Forekomsten gjennom året beskrives slik: Hele året eller som streiffugl, avhengig av område.</p><h3>Mat og adferd</h3><p>Bergirisk lever av frø fra urter, gras og andre planter. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hele året eller som streiffugl, avhengig av område. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 203760. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 13–14 cm","Ca. 15–20 g","Liten brunlig fink med stripet drakt, lysere underside og ofte gulaktig nebb. Kan ligne gråsisik, men mangler tydelig rød panneflekk.","Kyst, berg, ur, lynghei og åpne områder med lav vegetasjon.","Forekommer i Norge, særlig i kyst- og fjellnære åpne landskap.","Hele året eller som streiffugl, avhengig av område.","Frø fra urter, gras og andre planter.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203760","https://artsdatabanken.no/arter/takson/203760","https://snl.no/bergirisk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bjørkefink","bjorkefink","publish","Fugler","Fringilla montifringilla","Brambling","Bjørkefink er en nordlig fink som hekker i fjellskog og kan samle seg i svært store flokker om vinteren.","<h2>Om bjørkefink</h2><p>Bjørkefink (<em>Fringilla montifringilla</em>) er en nordlig slektning av bokfinken. Den hekker i skog over store deler av landet og kan utenfor hekketiden opptre i flokker som teller svært mange fugler.</p><h2>Kjennetegn</h2><p>Hannen i vår- og sommerdrakt har svart hode og rygg, rustoransje bryst og hvit underside. Hunnen, ungfuglene og hanner i vinterdrakt er mer gråbrune og spraglete. Den hvite overgumpen skiller arten fra bokfink, som har grønn overgump.</p><h2>Levested og utbredelse</h2><p>Bjørkefinken hekker over store deler av Norge. I Sør-Norge er den særlig knyttet til høyereliggende barskog og fjellbjørkeskog, mens den er vanlig i lavere skogstrakter lenger nord.</p><h2>Mat og atferd</h2><p>Arten lever hovedsakelig av frø, men tar også insekter om sommeren. Om vinteren kan god tilgang på bøkefrø samle enorme flokker på egnede steder.</p><h2>Lyd</h2><p>Sangen er en kort, grov og summende tone. Lokkelyden er hard og nasal og høres ofte fra trekkende eller rastende flokker.</p><h2>Hekking</h2><p>Reiret bygges i et tre, ofte tett inntil stammen, og kamufleres godt. Hunnen legger vanligvis fem–sju egg som ruges i 11–12 dager. Ungene forlater reiret etter omtrent to uker.</p><h2>Ved fuglemater</h2><p>Overvintrende bjørkefinker kan besøke fôringsplasser og spiser gjerne solsikkefrø. De opptrer ofte sammen med bokfink og andre frøspisende småfugler.</p><h2>Status</h2><p>Bjørkefink er en vanlig og etablert hekkefugl i Norge. Arten er vurdert som LC – Livskraftig på Norsk rødliste for arter.</p>","Ca. 15 cm","Ca. 20–30 g","Hannen i vårdrakt har svart hode og rygg, rustoransje bryst og hvit overgump. Hunnen og vinterfuglene er mer gråbrune og spraglete, men beholder den hvite overgumpen.","Fjellbjørkeskog, barskog og blandingsskog, særlig i høyereliggende og nordlige områder.","Hekker over store deler av Norge. I Sør-Norge er den vanligst i høyereliggende skogstrakter og fjellbjørkeskog.","Trekk- og streiffugl. De fleste trekker sørover om høsten, men enkelte overvintrer i Norge.","Frø og insekter. Om vinteren spiser den gjerne bøkefrø og andre tilgjengelige plantefrø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4165","https://artsdatabanken.no/arter/takson/4165","https://snl.no/bj%C3%B8rkefink","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 2 og språkvasket 2026-07-15"
"Blåmeis","blaameis","publish","Fugler","Cyanistes caeruleus","Eurasian Blue Tit","Blåmeis er en liten og livlig meis med blå isse, gult bryst og hvite kinn, og den er en vanlig gjest i hager og ved fuglematere.","<h2>Om blåmeis</h2><p>Blåmeis (<em>Cyanistes caeruleus</em>) er en av de minste meisene i Norge og en velkjent gjest i hager, parker og ved fôringsplasser. Den beveger seg raskt og smidig ytterst på greinene og kan henge opp-ned mens den leter etter mat.</p><h2>Kjennetegn</h2><p>Issen, vingene og stjerten er blå, kinnene hvite og undersiden gul med en svak mørk stripe. En blåsvart stripe går gjennom øyet. Kjønnene er nokså like, men hunnen er ofte litt mattere i fargene. Ungfuglene har svakere fargetegninger enn de voksne.</p><h2>Levested og utbredelse</h2><p>Arten trives særlig i løvskog og blandingsskog i lavlandet, men bruker også hager, parker og kulturlandskap med trær og busker. Den finnes over store deler av Norge nord til Finnmark, men er mer sparsom i de nordligste områdene.</p><h2>Mat og atferd</h2><p>Om sommeren lever blåmeisa hovedsakelig av insekter, larver og edderkopper. Om høsten og vinteren spiser den også frø, bærkjerner og annen plantekost. Den undersøker blader, knopper og tynne greiner grundig på jakt etter mat.</p><h2>Lyd</h2><p>Arten har mange kontakt- og varsellyder. Sangen består ofte av et par lyse toner etterfulgt av en rask, trillende avslutning, gjerne gjengitt som «sit-sit-sirrrr».</p><h2>Hekking og fuglekasse</h2><p>Blåmeis hekker i naturlige hulrom og tar gjerne i bruk fuglekasser. Hunnen bygger reiret av mose og mykt materiale. Et kull består vanligvis av 8–12 egg, som hunnen ruger i omtrent 12–16 dager. Ungene forlater reiret etter 16–22 dager, og to kull kan forekomme.</p><h2>Ved fuglemater</h2><p>Blåmeis er en av de vanligste gjestene ved norske fôringsplasser. Den tar særlig solsikkefrø og meiseboller og kan, til tross for størrelsen, være pågående overfor større fugler.</p><h2>Status</h2><p>Blåmeis er en vanlig og etablert hekkefugl i Norge. Arten er vurdert som LC – Livskraftig. Artsdatabanken-takson-ID: 203652.</p>","Ca. 11–12 cm","10–13 g","Liten meis med blå isse, blå vinger og stjert, hvite kinn, blåsvart øyestripe og gul underside med en svak mørk stripe.","Løvskog og blandingsskog i lavlandet, samt hager, parker og kulturlandskap med trær og busker.","Finnes over store deler av Norge nord til Finnmark, men er mer sparsom i de nordligste områdene.","Hele året. Hovedsakelig standfugl, men ungfugler kan streife om høsten.","Insekter, larver og edderkopper om sommeren; frø, bærkjerner og annen plantekost høst og vinter. Ved fuglemater tar den særlig solsikkefrø og meiseboller.","LC – Livskraftig","Finnes i Norge. Vanlig og etablert hekkefugl.","203652","https://artsdatabanken.no/arter/takson/203652","https://snl.no/bl%C3%A5meis","https://www.fuglevennen.no/arter/?or_id=516","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-14","Fullstendig kvalitetssikret – språkvasket 2026-07-14"
"Blåstrupe","blaastrupe","publish","Fugler","Luscinia svecica","Bluethroat","Blåstrupe er en slank småfugl med blå strupe hos hannen og tilhold i vierkratt, våtmark og fjellnære områder.","<h2>Om blåstrupe</h2><p>Blåstrupe (<em>Luscinia svecica</em>) er en art i artsgruppen fugler i Naturblikk. Blåstrupe er en slank småfugl med blå strupe hos hannen og tilhold i vierkratt, våtmark og fjellnære områder. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Hannen har blå strupe med rødoransje flekk, lys øyenbrynstripe og brunlig overside. Hunnen er mer diskret tegnet. Størrelse: Ca. 14 cm. Vekt: Ca. 15–25 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille blåstrupe fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til vierkratt, våtmark, myrkanter, fjellbjørkeskog og fuktige områder. Hekker i store deler av Norge, særlig i fjellnære og nordlige områder. Forekomsten gjennom året beskrives slik: Trekkfugl. Ses vanligvis vår til høst i Norge.</p><h3>Mat og adferd</h3><p>Blåstrupe lever av insekter, larver, edderkopper og andre smådyr. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Trekkfugl. Ses vanligvis vår til høst i Norge. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 160530. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 14 cm","Ca. 15–25 g","Hannen har blå strupe med rødoransje flekk, lys øyenbrynstripe og brunlig overside. Hunnen er mer diskret tegnet.","Vierkratt, våtmark, myrkanter, fjellbjørkeskog og fuktige områder.","Hekker i store deler av Norge, særlig i fjellnære og nordlige områder.","Trekkfugl. Ses vanligvis vår til høst i Norge.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","160530","https://artsdatabanken.no/arter/takson/160530","https://snl.no/bl%C3%A5strupe","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bokfink","bokfink","publish","Fugler","Fringilla coelebs","Eurasian Chaffinch","Bokfink er en av Norges vanligste fugler og en markant vårsanger i skog, parker og hager.","<h2>Om bokfink</h2><p>Bokfink (<em>Fringilla coelebs</em>) er en av Norges vanligste fugler. Den trives i skog, parker og hager, og hannens kraftige sang er for mange et sikkert vårtegn.</p><h2>Kjennetegn</h2><p>Hannen har gråblå isse og nakke, rødbrunt bryst og kastanjebrun rygg. Hunnen og ungfuglene er mer ensfarget gråbrune. To tydelige hvite vingebånd og den grønne overgumpen er gode kjennetegn hos begge kjønn.</p><h2>Levested og utbredelse</h2><p>Arten hekker i løvskog, blandingsskog, parker og andre områder med trær over det meste av landet nord til Troms. I Finnmark er den mer fåtallig og lokal.</p><h2>Mat og atferd</h2><p>Bokfinken spiser hovedsakelig frø, frukt og knopper, men tar også insekter, særlig om sommeren. Den søker ofte etter mat på bakken og kan opptre i flokker utenfor hekketiden.</p><h2>Lyd</h2><p>Sangen er kraftig og karakteristisk, med en rask rekke toner som avsluttes med en tydelig sluttstrofe. Lokale bestander kan ha merkbare sangdialekter.</p><h2>Hekking</h2><p>Reiret bygges som en liten, velkamuflert skål og plasseres gjerne i en grenkløft. Hunnen ruger vanligvis fire–fem egg i 12–13 dager, og ungene forlater reiret etter omtrent to uker.</p><h2>Ved fuglemater</h2><p>Bokfink besøker gjerne fôringsplasser under trekk og i milde vintre. Den tar frø og korn, men plukker ofte maten på bakken under selve materen.</p><h2>Status</h2><p>Bokfink er en vanlig og etablert hekkefugl i Norge. Arten er vurdert som LC – Livskraftig på Norsk rødliste for arter.</p>","Ca. 15 cm","Ca. 20 g","Hannen har gråblå isse og nakke, rødbrunt bryst og to tydelige hvite vingebånd. Hunnen og ungfuglene er mer gråbrune. Begge kjønn har grønn overgump.","Løvskog, blandingsskog, skogkanter, parker og hager med trær og busker.","Vanlig hekkefugl over det meste av Norge nord til Troms, og mer fåtallig i deler av Finnmark.","Hovedsakelig trekkfugl. De fleste kommer tilbake i mars og april, mens noen overvintrer langs kysten.","Frø, frukt, knopper og insekter. Insekter er særlig viktige i hekketiden.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203749","https://artsdatabanken.no/arter/takson/203749","https://snl.no/bokfink","https://www.fuglevennen.no/arter/?or_id=489","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 2 og språkvasket 2026-07-15"
"Boltit","boltit","publish","Fugler","Eudromias morinellus","Eurasian Dotterel","Boltit er en fjellfugl i lofamilien som hekker på åpne, høyereliggende fjellvidder.","<h2>Om boltit</h2><p>Boltit (<em>Eudromias morinellus</em>) er en art i artsgruppen fugler i Naturblikk. Boltit er en fjellfugl i lofamilien som hekker på åpne, høyereliggende fjellvidder. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Kompakt vadefugl med markert lys øyenbrynstripe, brungrå overside og rødbrun underside i sommerdrakt. Hunnen er ofte sterkere farget enn hannen. Størrelse: Ca. 20–24 cm. Vekt: Ca. 90–150 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille boltit fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til fjellområder over eller nord for tregrensa. Hekker spredt i norske fjellområder. Forekomsten gjennom året beskrives slik: Trekkfugl. Hekker i Norge om sommeren.</p><h3>Mat og adferd</h3><p>Boltit lever av insekter, larver, edderkopper og andre smådyr. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Trekkfugl. Hekker i Norge om sommeren. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 190048. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 20–24 cm","Ca. 90–150 g","Kompakt vadefugl med markert lys øyenbrynstripe, brungrå overside og rødbrun underside i sommerdrakt. Hunnen er ofte sterkere farget enn hannen.","Fjellområder over eller nord for tregrensa.","Hekker spredt i norske fjellområder.","Trekkfugl. Hekker i Norge om sommeren.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","190048","https://artsdatabanken.no/arter/takson/190048","https://snl.no/boltit","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Brunnakke","brunnakke","publish","Fugler","Mareca penelope","Eurasian Wigeon","Brunnakke er en gressand som hekker spredt i våtmarksområder over store deler av Norge.","<h2>Om brunnakke</h2><p>Brunnakke (<em>Mareca penelope</em>) er en art i artsgruppen fugler i Naturblikk. Brunnakke er en gressand som hekker spredt i våtmarksområder over store deler av Norge. I Norge er arten registrert med status: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h3>Kjennetegn</h3><p>Hann med brunrødt hode, lys panne og grå kropp. Hunn brunlig. Begge kjønn har kompakt andeform og relativt kort nebb. Størrelse: Ca. 45–51 cm. Vekt: Ca. 500–1000 g. Sammen med leveområde, atferd og årstid gir disse trekkene et godt grunnlag for å skille brunnakke fra lignende arter.</p><h3>Levested og utbredelse</h3><p>Arten er særlig knyttet til våtmark, innsjøer, dammer og kystnære gruntvannsområder. Hekker spredt i våtmarksområder over store deler av Norge. Forekomsten gjennom året beskrives slik: Hekker vår og sommer. Mange overvintrer i Vest-Europa.</p><h3>Mat og adferd</h3><p>Brunnakke lever av hovedsakelig planteføde, blant annet vannplanter, gras og frø. Matvalget henger tett sammen med habitat og årstid, og kan variere mellom hekketid, trekk og vinterperiode.</p><h3>Hekking og sesong</h3><p>Sesong og aktivitet: Hekker vår og sommer. Mange overvintrer i Vest-Europa. I hekketiden er arten avhengig av egnede leveområder, tilgang på mat og trygge steder for reir eller unger.</p><h3>Status</h3><p>Finnes i Norge. Etablert hekkefugl. Arten er oppført med rødlistestatus LC – Livskraftig. Artsdatabanken-takson-ID: 197095. Opplysningene bør leses sammen med de øvrige faktafeltene på artsiden, der størrelse, vekt, kjennetegn, levested, utbredelse, næring og kilder er samlet i kortform.</p>","Ca. 45–51 cm","Ca. 500–1000 g","Hann med brunrødt hode, lys panne og grå kropp. Hunn brunlig. Begge kjønn har kompakt andeform og relativt kort nebb.","Våtmark, innsjøer, dammer og kystnære gruntvannsområder.","Hekker spredt i våtmarksområder over store deler av Norge.","Hekker vår og sommer. Mange overvintrer i Vest-Europa.","Hovedsakelig planteføde, blant annet vannplanter, gras og frø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","197095","https://artsdatabanken.no/arter/takson/197095","https://snl.no/brunnakke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
