$csv_data = <<<'CSV'
"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Alke","alke","publish","Fugler","Alca torda","Alke er en sjøfugl i alkefamilien som hekker i fuglefjell og lever store deler av året ute på havet.","Alke er en svart-hvit alkefugl som hekker skjult i fuglefjell, ofte i sprekker og hulrom. Den skilles fra lomvi og polarlomvi på et høyt, flattrykt svart nebb med hvite tverrstriper. Arten lever hovedsakelig av småfisk og andre marine byttedyr som den fanger ved å dykke.","Ca. 38 cm","600–900 g","Svart overside og hvit underside. Kraftig, høyt og flattrykt nebb med hvite tverrstriper. I vinterdrakt får den hvite kinn, strupe og hals.","Marine områder og fuglefjell langs kysten.","Hekker lokalt i fuglefjell langs norskekysten og opptrer ellers i kyst- og havområder.","Hekker om våren og sommeren. Utenom hekketiden oppholder den seg mest på havet.","Småfisk og andre marine organismer som fanges ved dykking.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl.","3554","https://artsdatabanken.no/arter/takson/3554","https://snl.no/alke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Avosett","avosett","publish","Fugler","Recurvirostra avosetta","Avosett er en langbeint vadefugl med svart-hvit drakt og tydelig oppoverbøyd nebb.","Avosett er en karakteristisk vadefugl med svart-hvit fjærdrakt, lange blågrå bein og et langt, tynt nebb som bøyer oppover. Arten er knyttet til grunne våtmarker, strandenger og laguner, og den finner føde ved å sveipe nebbet gjennom grunt vann og mudder.","Ca. 42–46 cm","Ca. 250–400 g","Langbeint svart-hvit vadefugl med langt oppoverbøyd nebb. Kontrastfull fjærdrakt og elegant kroppsform.","Grunne våtmarker, brakkvannsområder, strandenger, laguner og mudderflater.","Sjelden og lokal i Norge. Forekommer særlig i kystnære våtmarksområder.","Hovedsakelig vår og sommer i Norge.","Små krepsdyr, insektlarver og andre smådyr i grunt vann og mudder.","NA – Ikke egnet","Finnes i Norge, men er ikke egnet for ordinær rødlistekategori i Artsdatabanken-visningen.","3660","https://artsdatabanken.no/arter/takson/3660","https://snl.no/avosett","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bergand","bergand","publish","Fugler","Aythya marila","Bergand er en fåtallig dykkand i Norge som særlig er knyttet til grunne, næringsrike fjellvann.","Bergand er en mellomstor dykkand med rundt hode og bredt nebb. Hannen har grønnsvart hode, lyse flanker, gråvatret rygg og ellers mørk kropp, mens hunnen er brunlig. Arten hekker fåtallig i Norge, særlig ved grunne og næringsrike fjellvann, og mange overvintrer langs kysten.","40–51 cm","700–1400 g","Mellomstor dykkand med stort rundt hode. Hann med grønnsvart hode, hvite flanker og gråvatret rygg. Hunn brunlig.","Grunne, næringsrike innsjøer og fjellvann. Overvintrer ofte i kystnære marine områder.","Fåtallig hekkefugl i Norge, hovedsakelig i fjellområder. Mange overvintrer langs norskekysten.","Hekker vår og sommer. Overvintrer delvis langs kysten.","Dykker etter blant annet skjell, snegler, krepsdyr og andre smådyr.","EN – Sterkt truet","Finnes i Norge. Fåtallig etablert hekkefugl.","203474","https://artsdatabanken.no/arter/takson/203474","https://snl.no/bergand","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bergirisk","bergirisk","publish","Fugler","Linaria flavirostris","Bergirisk er en liten fink knyttet til åpne kyst-, berg- og lyngområder.","Bergirisk er en liten, brunlig og stripete fink. Den opptrer ofte i små flokker og er knyttet til åpne områder som kystlynghei, berg, ur og annen åpen mark. Arten lever hovedsakelig av frø og kan vandre en del utenfor hekketiden.","Ca. 13–14 cm","Ca. 15–20 g","Liten brunlig fink med stripet drakt, lysere underside og ofte gulaktig nebb. Kan ligne gråsisik, men mangler tydelig rød panneflekk.","Kyst, berg, ur, lynghei og åpne områder med lav vegetasjon.","Forekommer i Norge, særlig i kyst- og fjellnære åpne landskap.","Hele året eller som streiffugl, avhengig av område.","Frø fra urter, gras og andre planter.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203760","https://artsdatabanken.no/arter/takson/203760","https://snl.no/bergirisk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bjørkefink","bjorkefink","publish","Fugler","Fringilla montifringilla","Bjørkefink er en vanlig fink i nordlige skogsområder og kan opptre i store flokker utenfor hekketiden.","Bjørkefink er en fink som hekker i bjørke- og barskog, særlig i nordlige og høyereliggende områder. Den kan ligne bokfink, men har tydelig oransje bryst og skulderparti, hvit overgump og mørkt hode hos hannen i sommerdrakt. Om høsten og vinteren kan arten opptre i større flokker.","Ca. 14–16 cm","Ca. 20–30 g","Oransje bryst og skulderparti, hvit overgump og mørkt hode hos hannen i sommerdrakt. Hunnen og vinterdrakten er mer dempet.","Skog, særlig bjørkeskog og barskog.","Hekker i store deler av Norge, særlig i nordlige og høyereliggende skogsområder.","Vår til høst som hekkefugl. Mange trekker sørover om vinteren, men flokker kan også sees i Norge.","Frø, bær og insekter. Unger fôres i stor grad med insekter.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4165","https://artsdatabanken.no/arter/takson/4165","https://snl.no/bj%C3%B8rkefink","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Blåmeis","blaameis","publish","Fugler","Cyanistes caeruleus","Blåmeis er en liten og fargerik meis som er vanlig i hager, parker og løvskog, og som gjerne besøker fuglematere.","Blåmeis er en liten og livlig meis med blå isse, blå vinger og stjert, hvite kinn og gul underside. Den trives særlig i løvskog, hager og parker, og hekker gjerne i hulrom eller fuglekasser. Arten lever mye av insekter i hekkesesongen, men tar også frø, nøtter og talg på fuglematere.","Ca. 11–12 cm","10–13 g","Blå isse, blå vinger og stjert, hvite kinn og gul underside. Mørk stripe gjennom øyet.","Løvskog, blandingsskog, hager, parker og kulturlandskap.","Vanlig i store deler av Norge, men mer fåtallig lengst nord og i høyfjellet.","Hele året i store deler av landet. Hovedsakelig standfugl.","Insekter, larver og edderkopper i hekkesesongen. På fuglemater tar den gjerne solsikkefrø, nøtter, talg og meiseboller.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203652","https://artsdatabanken.no/arter/takson/203652","https://snl.no/bl%C3%A5meis","https://www.fuglevennen.no/arter/?or_id=516","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Blåstrupe","blaastrupe","publish","Fugler","Luscinia svecica","Blåstrupe er en slank småfugl med blå strupe hos hannen og tilhold i vierkratt, våtmark og fjellnære områder.","Blåstrupe er en karakteristisk småfugl i fluesnapperfamilien. Hannen har blå strupe med rødoransje flekk og lys øyenbrynstripe, mens hunnen er mer dempet. Arten er knyttet til vierkratt, våtmark, myrkanter og fjellnære områder, og lever i hovedsak av insekter og andre smådyr.","Ca. 14 cm","Ca. 15–25 g","Hannen har blå strupe med rødoransje flekk, lys øyenbrynstripe og brunlig overside. Hunnen er mer diskret tegnet.","Vierkratt, våtmark, myrkanter, fjellbjørkeskog og fuktige områder.","Hekker i store deler av Norge, særlig i fjellnære og nordlige områder.","Trekkfugl. Ses vanligvis vår til høst i Norge.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","160530","https://artsdatabanken.no/arter/takson/160530","https://snl.no/bl%C3%A5strupe","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Bokfink","bokfink","publish","Fugler","Fringilla coelebs","Bokfink er en vanlig fink i Norge og en av de mest kjente sangfuglene om våren.","Bokfinken er en vanlig hekkefugl i skog, hager og parker. Hannen har rødbrunt bryst, gråblå hette og tydelige hvite vingebånd, mens hunnen er mer gråbrun. Den synger kraftig om våren og trekker ofte sørover eller til mildere kystområder om høsten.","Ca. 15 cm","Ca. 20 g","To tydelige hvite vingebånd. Hannen har gråblå hette og nakke, kastanjebrun rygg og rødbrun underside. Hunnen er mer gråbrun.","Løvskog, blandingsskog, barskog, hager, parker og skogkanter.","Hekker vanlig i skog i store deler av Norge.","Vår til høst. Noen overvintrer, særlig i mildere områder.","Frø og insekter. Kan besøke fuglematere for frø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203749","https://artsdatabanken.no/arter/takson/203749","https://snl.no/bokfink","https://www.fuglevennen.no/arter/?or_id=489","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Boltit","boltit","publish","Fugler","Eudromias morinellus","Boltit er en fjellfugl i lofamilien som hekker på åpne, høyereliggende fjellvidder.","Boltit er en karakteristisk vadefugl som hekker i fjellet, ofte på tørre, åpne og steinete vidder. Den har rund kroppsform, tydelige hode- og brysttegninger og en bemerkelsesverdig tillitsfull opptreden. Arten lever av insekter og andre smådyr som den finner på bakken.","Ca. 20–24 cm","Ca. 90–150 g","Kompakt vadefugl med markert lys øyenbrynstripe, brungrå overside og rødbrun underside i sommerdrakt. Hunnen er ofte sterkere farget enn hannen.","Fjellområder over eller nord for tregrensa.","Hekker spredt i norske fjellområder.","Trekkfugl. Hekker i Norge om sommeren.","Insekter, larver, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","190048","https://artsdatabanken.no/arter/takson/190048","https://snl.no/boltit","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
"Brunnakke","brunnakke","publish","Fugler","Mareca penelope","Brunnakke er en gressand som hekker spredt i våtmarksområder over store deler av Norge.","Brunnakke er en mellomstor and. Hannen i praktdrakt har brunrødt hode, lys panne og grå kropp, mens hunnen er mer brunlig og anonym. Arten hekker i våtmarker og ved innsjøer, og norske fugler overvintrer i stor grad i Vest-Europa. Den spiser hovedsakelig planteføde.","Ca. 45–51 cm","Ca. 500–1000 g","Hann med brunrødt hode, lys panne og grå kropp. Hunn brunlig. Begge kjønn har kompakt andeform og relativt kort nebb.","Våtmark, innsjøer, dammer og kystnære gruntvannsområder.","Hekker spredt i våtmarksområder over store deler av Norge.","Hekker vår og sommer. Mange overvintrer i Vest-Europa.","Hovedsakelig planteføde, blant annet vannplanter, gras og frø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","197095","https://artsdatabanken.no/arter/takson/197095","https://snl.no/brunnakke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 1 - grunnfelt kontrollert"
